lat,lon,alt,is_broken,is_active,dot,state,city,street,country,last_checked
-73.991692,40.691383,0,True,True,broken,NY,Brooklyn,82 Court St,USA,Checked 142 minutes ago
-73.990517,40.736977,0,True,True,broken,NY,New York,39 Union Square W,USA,Checked 142 minutes ago
-74.043057,40.719843,0,True,True,broken,NJ,Jersey City,325 Grove St,USA,Checked 142 minutes ago
-73.98067,40.688963,0,True,True,broken,NY,Brooklyn,395 Flatbush Ave Exten,USA,Checked 142 minutes ago
-73.987856,40.740654,0,True,True,broken,NY,New York,26 E 23rd St,USA,Checked 142 minutes ago
-74.0426,40.729858,0,True,True,broken,NJ,Jersey City,197 12th St,USA,Checked 142 minutes ago
-74.030396,40.739906,0,True,True,broken,NJ,Hoboken,234 Washington St,USA,Checked 142 minutes ago
-73.997088,40.747569,0,True,True,broken,NY,Manhattan,335 8th Ave,USA,Checked 142 minutes ago
-73.954109,40.730389,0,True,True,broken,NY,Brooklyn,904 Manhattan Ave,USA,Checked 142 minutes ago
-73.966927,40.681351,0,True,True,broken,NY,Brooklyn,840 Atlantic Ave,USA,Checked 142 minutes ago
-73.988945,40.758118,0,True,True,broken,NY,New York,688 8th Ave Frnt 1,USA,Checked 142 minutes ago
-73.943154,40.711849,0,True,True,broken,NY,Brooklyn,741 Grand St,USA,Checked 142 minutes ago
-73.970751,40.756163,0,True,True,broken,NY,New York,824 3rd Avenue 50th St,USA,Checked 142 minutes ago
-73.95034,40.680573,0,True,True,broken,NY,Brooklyn,1275 Fulton Steet,USA,Checked 142 minutes ago
-74.078182,40.711435,0,True,True,broken,NJ,Jersey City,390 Martin Luther King Drive,USA,Checked 142 minutes ago
-73.983273,40.765877,0,True,True,broken,NY,New York,946 8th Ave,USA,Checked 142 minutes ago
-73.959984,40.663731,0,True,True,broken,NY,Brooklyn,57 Empire Blvd,USA,Checked 142 minutes ago
-73.9067,40.726299,0,True,True,broken,NY,Maspeth,59-60 55th Road,USA,Checked 143 minutes ago
-73.926186,40.760616,0,True,True,broken,NY,Long Island City,3255 31st St,USA,Checked 143 minutes ago
-73.908358,40.75348,0,True,True,broken,NY,Woodside,51-35 Northern Blvd,USA,Checked 143 minutes ago
-73.972343,40.794389,0,True,True,broken,NY,New York,2549 Broadway,USA,Checked 143 minutes ago
-73.967846,40.800014,0,True,True,broken,NY,New York,2726 Broadway,USA,Checked 143 minutes ago
-74.027731,40.622159,0,True,True,broken,NY,Brooklyn,430 86th St,USA,Checked 143 minutes ago
-73.983818,40.813576,0,True,True,broken,NJ,Edgewater,River Road,USA,Checked 143 minutes ago
-73.880943,40.764374,0,True,True,broken,NY,East Elmhurst,88-05 Astoria Blvd,USA,Checked 143 minutes ago
-73.870372,40.751065,0,True,True,broken,NY,Corona,37-19 Junction Blvd,USA,Checked 143 minutes ago
-73.925667,40.80632,0,True,True,broken,NY,Bronx,85 Bruckner Blvd,USA,Checked 143 minutes ago
-73.94136,40.817932,0,True,True,broken,NY,New York,139th & Adam Clayton Powell,USA,Checked 143 minutes ago
-73.927055,40.819809,0,True,True,broken,NY,Bronx,597-99 Grand Concourse,USA,Checked 143 minutes ago
-73.944335,40.835319,0,True,True,broken,NY,New York,3809 Broadway,USA,Checked 143 minutes ago
-73.981818,40.577218,0,True,True,broken,NY,Brooklyn,1403 Mermaid Avenue,USA,Checked 143 minutes ago
-73.830133,40.759056,0,True,True,broken,NY,Flushing,40-18 Main Street,USA,Checked 143 minutes ago
-74.102158,40.577595,0,True,True,broken,NY,Staten Island,2154 Hylan Blvd,USA,Checked 144 minutes ago
-74.225128,40.738201,0,True,True,broken,NJ,Newark,915 18th Ave,USA,Checked 144 minutes ago
-73.779793,40.757866,0,True,True,broken,NY,Bayside,203-11 Northern Blvd,USA,Checked 145 minutes ago
-73.846611,40.844517,0,True,True,broken,NY,Bronx,1515 Williamsbridge Rd,USA,Checked 145 minutes ago
-73.773834,40.660133,0,True,True,broken,NY,Jamaica,166-05 Rockaway Blvd,USA,Checked 145 minutes ago
-74.287775,40.566095,0,True,True,broken,NJ,Woodbridge Township,753 St Georges Ave,USA,Checked 145 minutes ago
-74.234712,40.517726,0,True,True,broken,NY,Staten Island,260 Page Avenue,USA,Checked 145 minutes ago
-73.653259,40.705452,0,True,True,broken,NY,West Hempstead,380 Hempstead Turnpike,USA,Checked 145 minutes ago
-74.34285,40.55724,0,True,True,broken,NJ,Edison,59 Hwy 27,USA,Checked 145 minutes ago
-74.395988,40.908764,0,True,True,broken,NJ,Boonton,568 Myrtle Ave,USA,Checked 145 minutes ago
-73.788023,41.031704,0,True,True,broken,NY,Hartsdale,407 N Central Park Ave,USA,Checked 145 minutes ago
-74.42334,40.541862,0,True,True,broken,NJ,Piscataway,1301 Stelton Road,USA,Checked 145 minutes ago
-74.127019,41.064142,0,True,True,broken,NJ,Ramsey,846 Rt 17 N,USA,Checked 145 minutes ago
-74.001213,41.092709,0,True,True,broken,NY,Nanuet,265 Rt 59,USA,Checked 145 minutes ago
-74.470398,40.485802,0,True,True,broken,NJ,New Brunswick,666 Somerset St,USA,Checked 146 minutes ago
-74.306999,40.350712,0,True,True,broken,NJ,Englishtown,78 Rt 9,USA,Checked 146 minutes ago
-73.579461,41.041808,0,True,True,broken,CT,Riverside,1207 East Putnam Avenue,USA,Checked 147 minutes ago
-74.47304,40.268173,0,True,True,broken,NJ,Monroe Twp,1 Gateway Boulevard,USA,Checked 147 minutes ago
-74.895591,40.640285,0,True,True,broken,NJ,Clinton,185 Center St,USA,Checked 147 minutes ago
-72.988792,40.941151,0,True,True,broken,NY,Miller Place,340 Rt 25a,USA,Checked 149 minutes ago
-74.733775,41.35172,0,True,True,broken,PA,Milford,Rt 6 & 209,USA,Checked 149 minutes ago
-75.029522,40.102193,0,True,True,broken,PA,Philadelphia,9970 Bustleton Ave,USA,Checked 149 minutes ago
-73.966667,41.702763,0,True,True,broken,NY,Hyland,650 Rte 9 W Bridgeview Plaza,USA,Checked 149 minutes ago
-72.966584,41.328502,0,True,True,broken,CT,New Haven,1094 Whalley Ave,USA,Checked 150 minutes ago
-75.053345,40.044473,0,True,True,broken,PA,Philadelphia,2801 Cottman Ave,USA,Checked 149 minutes ago
-75.16762,40.144085,0,True,True,broken,PA,Dresher,1650 Limekiln Pike,USA,Checked 149 minutes ago
-75.399965,40.922096,0,True,True,broken,PA,Brodheadsville,Rt 209 & 115,USA,Checked 150 minutes ago
-75.435443,40.625051,0,True,True,broken,PA,Allentown,1321 Union Blvd,USA,Checked 150 minutes ago
-75.41836,40.435242,0,True,True,broken,PA,Quakertown,1900 John Fries Highway,USA,Checked 149 minutes ago
-75.174316,40.036686,0,True,True,broken,PA,Philadelphia,29 E Chelten Ave,USA,Checked 149 minutes ago
-75.166119,39.995854,0,True,True,broken,PA,Philadelphia,2101 W Lehigh,USA,Checked 150 minutes ago
-75.158826,39.972099,0,True,True,broken,PA,Philadelphia,1201 N Broad St,USA,Checked 150 minutes ago
-75.29003,40.094447,0,True,True,broken,PA,Conshohocken,209 213 Ridge Pike,USA,Checked 150 minutes ago
-74.98836,39.814419,0,True,True,broken,NJ,Lindenwold,517 White Horse Pike,USA,Checked 151 minutes ago
-75.142546,39.923923,0,True,True,broken,PA,Philadelphia,1601 Christopher Columbus Blvd,USA,Checked 151 minutes ago
-75.2294,39.999466,0,True,True,broken,PA,Philadelphia,5020 City Line Ave,USA,Checked 151 minutes ago
-75.311567,40.067948,0,True,True,broken,PA,West Conshohocken,114 Moorehead Ave,USA,Checked 151 minutes ago
-73.996811,41.94445,0,True,True,broken,NY,Kingston,555 Albany Ave,USA,Checked 151 minutes ago
-72.538205,41.277443,0,True,True,broken,CT,Clinton,108 W Main St,USA,Checked 151 minutes ago
-75.033916,39.729968,0,True,True,broken,NJ,Turnersville,3501 Rt 42,USA,Checked 151 minutes ago
-74.511193,39.431486,0,True,True,broken,NJ,Absecon,551 White Horse Pike,USA,Checked 152 minutes ago
-75.529528,40.042656,0,True,True,broken,PA,Frazer,84 Lancaster Ave,USA,Checked 151 minutes ago
-75.389796,39.872876,0,True,True,broken,PA,Brookhaven,4206 Edgemont Ave,USA,Checked 151 minutes ago
-75.220885,39.724714,0,True,True,broken,NJ,Mullica Hill,Route 77 And Walnut Lane,USA,Checked 152 minutes ago
-75.62023,41.435485,0,True,True,broken,PA,Dunmore,1201 Harry P. O Neill,USA,Checked 151 minutes ago
-72.712526,41.742128,0,True,True,broken,CT,Hartford,507 Flatbush Ave,USA,Checked 152 minutes ago
-75.764104,41.307042,0,True,True,broken,PA,Pittston,306 Rt 315,USA,Checked 151 minutes ago
-75.881075,41.241025,0,True,True,broken,PA,Wilkes Barre,150 East Hampton,USA,Checked 152 minutes ago
-72.608536,41.823784,0,True,True,broken,CT,South Windsor,769 John Fitch Blvd,USA,Checked 152 minutes ago
-75.901574,41.258652,0,True,True,broken,PA,Edwardsville,80 S Wyoming Ave,USA,Checked 152 minutes ago
-75.982787,40.356142,0,True,True,broken,PA,Wyomissing,2725 N Meridian Blvd,USA,Checked 152 minutes ago
-75.942482,41.322314,0,True,True,broken,PA,Shavertown,Rt 309 Franklin Street,USA,Checked 152 minutes ago
-75.682625,39.685885,0,True,True,broken,DE,Newark,4160 Ogletown Stanton Road,USA,Checked 152 minutes ago
-76.186929,40.704293,0,True,True,broken,PA,Pottsville,720 N Claude A Lord Blvd,USA,Checked 152 minutes ago
-75.132882,42.168508,0,True,True,broken,NY,Walton,205 Delaware St,USA,Checked 152 minutes ago
-75.959456,41.542176,0,True,True,broken,PA,Tunkhannock,161 W Tioga St.,USA,Checked 152 minutes ago
-73.203972,42.46852,0,True,True,broken,MA,Pittsfield,61 Cheshire Road,USA,Checked 153 minutes ago
-75.494105,39.129375,0,True,True,broken,DE,Dover,1704 East Lebanon Rd,USA,Checked 152 minutes ago
-75.558162,39.158585,0,True,True,broken,DE,Dover,1424 Forrest Ave,USA,Checked 153 minutes ago
-73.794663,42.683462,0,True,True,broken,NY,Albany,1006 Central Ave,USA,Checked 152 minutes ago
-76.100717,39.553384,0,True,True,broken,MD,Havre De Grace,802 Pulaski Highway,USA,Checked 153 minutes ago
-73.775384,42.706374,0,True,True,broken,NY,Loudonville,256 Osborne Rd,USA,Checked 153 minutes ago
-73.120178,42.619229,0,True,True,broken,MA,Adams,2 Commercial St,USA,Checked 153 minutes ago
-75.960612,42.116223,0,True,True,broken,NY,Johnson City,339 Main St,USA,Checked 153 minutes ago
-76.001091,42.095181,0,True,True,broken,NY,Vestal,3136 Vestal Pky E,USA,Checked 154 minutes ago
-72.024897,42.139797,0,True,True,broken,MA,Charlton City,Massachusetts Turnpike,USA,Checked 154 minutes ago
-74.963887,42.650661,0,True,True,broken,NY,Cooperstown,60 Commons Dr,USA,Checked 153 minutes ago
-76.772767,40.261676,0,True,True,broken,PA,Harrisburg,6535 Grayson Rd  Wm  1591,USA,Checked 154 minutes ago
-76.630864,39.915653,0,True,True,broken,PA,Red Lion,655 Lombard St,USA,Checked 154 minutes ago
-76.793509,40.320075,0,True,True,broken,PA,Harrisburg,5590 Allentown Blvd,USA,Checked 154 minutes ago
-76.670352,39.770639,0,True,True,broken,PA,Shrewsbury,534 Shrewsbury Commons Ave,USA,Checked 155 minutes ago
-71.85363,42.275879,0,True,True,broken,MA,Worcester,595 Mill St,USA,Checked 154 minutes ago
-71.436095,41.943536,0,True,True,broken,RI,Cumberland,1754 Mendon Rd,USA,Checked 154 minutes ago
-76.987102,41.227005,0,True,True,broken,PA,South Williamsport,180 Montgomery Rd,USA,Checked 155 minutes ago
-71.264202,41.769411,0,True,True,broken,MA,Swansea,181 James Reynolds Road,USA,Checked 154 minutes ago
-76.985402,40.176157,0,True,True,broken,PA,Mechanicsburg,2112 Bumble Bee Hollow Road,USA,Checked 154 minutes ago
-71.176791,41.682674,0,True,True,broken,MA,Fall River,1853 S Main St,USA,Checked 155 minutes ago
-71.143259,41.682437,0,True,True,broken,MA,Fall River,834 Brayton Ave,USA,Checked 155 minutes ago
-76.62727,39.441908,0,True,True,broken,MD,Timonium,2116 York Rd,USA,Checked 155 minutes ago
-76.608799,39.408845,0,True,True,broken,MD,Towson,934 York Rd,USA,Checked 155 minutes ago
-76.568476,39.342813,0,True,True,broken,MD,Baltimore,4635-37 Harford Rd,USA,Checked 156 minutes ago
-76.61021,39.350388,0,True,True,broken,MD,Baltimore,5100 York Rd,USA,Checked 156 minutes ago
-74.993762,43.022597,0,True,True,broken,NY,Herkimer,Rt 5 & Caroline St,USA,Checked 155 minutes ago
-76.596111,39.313688,0,True,True,broken,MD,Baltimore,2001 N Broadway,USA,Checked 156 minutes ago
-76.609934,39.323284,0,True,True,broken,MD,Baltimore,2840 Greenmount Ave,USA,Checked 156 minutes ago
-76.983317,39.825386,0,True,True,broken,PA,Hanover,350 Eisenhower Dr,USA,Checked 156 minutes ago
-76.959866,39.770847,0,True,True,broken,PA,Hanover,1448 Baltimore St,USA,Checked 155 minutes ago
-77.177442,40.200242,0,True,True,broken,PA,Carlisle,608 E High,USA,Checked 156 minutes ago
-76.289274,38.976655,0,True,True,broken,MD,Chester,12 Chester Plaza,USA,Checked 156 minutes ago
-71.56915,42.382229,0,True,True,broken,MA,Hudson,173 Washington St,USA,Checked 156 minutes ago
-76.298605,42.495936,0,True,True,broken,NY,Dryden,59 North St,USA,Checked 156 minutes ago
-71.760483,42.542198,0,True,True,broken,MA,Leominster,302 N Main Street,USA,Checked 156 minutes ago
-76.167791,42.607748,0,True,True,broken,NY,Cortland,158 Clinton Ave,USA,Checked 156 minutes ago
-76.671423,39.280542,0,True,True,broken,MD,Baltimore,3249 Frederick Ave,USA,Checked 156 minutes ago
-76.444276,39.0259,0,True,True,broken,MD,Annapolis,1450 Whitehall Rd,USA,Checked 156 minutes ago
